matrix_name,num_samples,num_mutations,mut_mod,clone_used,k_persistent,time,total_error,accuracy
66,5,10,0.6,6,0,300,1.7804,0.168954741491
92,5,10,0.4,4,0,17,1.8984,0.180261591625
65,5,10,1.0,10,0,300,0.3362,0.0846198425936
64,5,10,0.8,8,0,300,1.0353,0.122685046022
67,5,10,0.6,6,0,109,0.7663,0.0846859223206
93,5,10,0.4,4,0,19,1.5328,0.14711700737
94,5,10,0.4,4,0,18,1.4908,0.142622038563
66,5,10,1.0,10,0,300,1.3013,0.166652839568
65,5,10,0.8,8,0,300,0.48,0.080942962071
68,5,10,0.6,6,0,204,1.0099,0.106305323716
95,5,10,0.4,4,0,36,1.7219,0.13679366631
67,5,10,1.0,10,0,300,0.321,0.0516231616565
69,5,10,0.6,6,0,192,1.4775,0.194700143289
66,5,10,0.8,8,0,300,1.4412,0.149183748628
96,5,10,0.4,4,0,85,1.8217,0.168353718599
97,5,10,0.4,4,0,23,1.6655,0.17406887841
70,5,10,0.6,6,0,273,0.9153,0.127280114621
68,5,10,1.0,10,0,300,0.6827,0.0945577536881
67,5,10,0.8,8,0,300,0.5151,0.0621170585556
98,5,10,0.4,4,0,19,1.5377,0.113895871849
99,5,10,0.4,4,0,28,1.8793,0.154190191026
71,5,10,0.6,6,0,300,0.7865,0.0926737209415
69,5,10,1.0,10,0,300,1.2156,0.184374073112
68,5,10,0.8,8,0,300,0.7911,0.0957166905097
72,5,10,0.6,6,0,162,1.0687,0.12172233017
70,5,10,1.0,10,0,300,0.6412,0.110611926811
69,5,10,0.8,8,0,300,1.2245,0.188306015508
73,5,10,0.6,6,0,300,1.0914,0.137576554221
71,5,10,1.0,10,0,300,0.364,0.0627577529948
70,5,10,0.8,8,0,300,0.7734,0.115971500639
74,5,10,0.6,6,0,300,1.384,0.180204299684
72,5,10,1.0,10,0,300,0.7838,0.11854222498
71,5,10,0.8,8,0,300,0.4494,0.068891597008
75,5,10,0.6,6,0,63,1.1929,0.162226936893
73,5,10,1.0,10,0,300,0.7068,0.109600400238
72,5,10,0.8,8,0,300,0.7929,0.102441814689
76,5,10,0.6,6,0,300,1.3849,0.201468625766
74,5,10,1.0,10,0,300,0.94,0.150101227096
73,5,10,0.8,8,0,300,0.6559,0.0886410494099
77,5,10,0.6,6,0,300,0.8834,0.0924310215345
75,5,10,1.0,10,0,300,0.7654,0.137543580374
74,5,10,0.8,8,0,300,1.0098,0.144244372509
78,5,10,0.6,6,0,300,0.6164,0.0983826121224
75,5,10,0.8,8,0,174,0.8497,0.122498725244
76,5,10,1.0,10,0,300,0.9682,0.139465790686
79,5,10,0.6,6,0,300,1.1751,0.146409944853
76,5,10,0.8,8,0,300,1.2446,0.168059428327
80,5,10,0.6,6,0,82,0.8419,0.0751115346727
77,5,10,1.0,10,0,300,0.4432,0.059317570466
81,5,10,0.6,6,0,196,1.2455,0.139935092562
77,5,10,0.8,8,0,300,0.5983,0.0715553101996
78,5,10,1.0,10,0,300,0.271,0.0471629294884
82,5,10,0.6,6,0,171,0.9431,0.0938037248982
78,5,10,0.8,8,0,300,0.4186,0.0677966479137
79,5,10,1.0,10,0,300,0.4487,0.0756000430187
83,5,10,0.6,6,0,220,1.2761,0.128578436734
79,5,10,0.8,8,0,300,0.7802,0.108335700338
80,5,10,1.0,10,0,300,0.2376,0.0341365282455
84,5,10,0.6,6,0,300,1.2202,0.116135132674
80,5,10,0.8,8,0,300,0.4848,0.051333134816
81,5,10,1.0,10,0,300,0.8891,0.119983795862
85,5,10,0.6,6,0,249,0.6689,0.0768415567121
81,5,10,0.8,8,0,300,0.8693,0.101680322926
82,5,10,1.0,10,0,300,0.532,0.0787909262779
86,5,10,0.6,6,0,133,0.8322,0.119426356765
87,5,10,0.6,6,0,79,1.1317,0.127652916698
82,5,10,0.8,8,0,300,0.6539,0.08377531082
83,5,10,1.0,10,0,300,1.2888,0.115734851254
88,5,10,0.6,6,0,89,0.8059,0.0719781852267
83,5,10,0.8,8,0,300,1.1526,0.130110640883
84,5,10,1.0,10,0,300,0.6926,0.0839064150393
89,5,10,0.6,6,0,163,1.4276,0.163782390031
90,5,10,0.6,6,0,76,1.2177,0.152694240496
84,5,10,0.8,8,0,300,0.9296,0.0963734833228
85,5,10,1.0,10,0,300,0.3815,0.0654129961472
91,5,10,0.6,6,0,269,1.4637,0.136502650088
85,5,10,0.8,8,0,300,0.4608,0.0558293235513
86,5,10,1.0,10,0,300,0.293,0.0622229295469
92,5,10,0.6,6,0,159,1.3789,0.118746366465
86,5,10,0.8,8,0,271,0.4558,0.0940352632496
87,5,10,1.0,10,0,300,0.4861,0.105030651257
93,5,10,0.6,6,0,226,1.0899,0.11038994548
87,5,10,0.8,8,0,202,0.6328,0.10313208574
88,5,10,1.0,10,0,300,0.3314,0.0428761344974
94,5,10,0.6,6,0,98,0.8653,0.119279402943
88,5,10,0.8,8,0,300,0.5035,0.0547645396414
89,5,10,1.0,10,0,300,1.2418,0.152911488742
95,5,10,0.6,6,0,300,1.1921,0.119942484983
89,5,10,0.8,8,0,189,1.0977,0.150954136079
90,5,10,1.0,10,0,257,0.7395,0.0986902851135
96,5,10,0.6,6,0,300,1.19,0.118689645462
90,5,10,0.8,8,0,109,0.7474,0.0998130725046
97,5,10,0.6,6,0,173,1.017,0.142365113654
91,5,10,1.0,10,0,300,0.9083,0.106642896409
91,5,10,0.8,8,0,300,1.1163,0.102459696613
98,5,10,0.6,6,0,107,1.1083,0.086888313213
92,5,10,1.0,10,0,300,0.8148,0.0964309109913
92,5,10,0.8,8,0,160,1.0143,0.111276294961
99,5,10,0.6,6,0,248,1.3294,0.123344892914
93,5,10,1.0,10,0,300,0.7199,0.0983725872021
93,5,10,0.8,8,0,300,0.8254,0.105008610963
94,5,10,1.0,10,0,300,0.5235,0.10684221387
94,5,10,0.8,8,0,300,0.6496,0.10202597783
95,5,10,1.0,10,0,300,0.6162,0.0803919845487
95,5,10,0.8,8,0,300,0.8519,0.089484443695
96,5,10,1.0,10,0,300,0.6502,0.0791939019668
96,5,10,0.8,8,0,300,1.0649,0.105677746415
97,5,10,1.0,10,0,300,0.4612,0.105371306522
97,5,10,0.8,8,0,300,0.772,0.130136997672
98,5,10,1.0,10,0,300,0.6736,0.0631101073465
98,5,10,0.8,8,0,300,0.7553,0.0629182875676
99,5,10,1.0,9,0,300,1.0499,0.108002006399
99,5,10,0.8,8,0,300,1.2235,0.122071498435
