name,Phylogeny model,k,Accuracy
13,Persistent,0.6,2.00372411711e-16
14,Persistent,0.6,9.55166134885e-16
15,Persistent,0.6,6.97387395708e-17
16,Persistent,0.6,0.0113549719452
17,Persistent,0.6,0.103227181192
18,Persistent,0.6,8.14376162654e-17
19,Persistent,0.6,0.0196792497122
20,Persistent,0.6,5.57467203671e-17
21,Persistent,0.6,1.02758431842e-15
22,Persistent,0.6,1.0559443795e-16
23,Persistent,0.6,1.10549525085e-15
24,Persistent,0.6,0.0195963837344
25,Persistent,0.6,0.0754876357144
26,Persistent,0.6,0.107895959173
27,Persistent,0.6,0.102354996242
28,Persistent,0.6,8.65868651226e-17
29,Persistent,0.6,4.00280370168e-16
30,Persistent,0.6,9.83004682383e-16
31,Persistent,0.6,8.42139704291e-16
32,Persistent,0.6,0.133784215128
33,Persistent,0.6,0.0
34,Persistent,0.6,6.13296513375e-16
35,Persistent,0.6,9.70229464198e-16
36,Persistent,0.6,3.43612702771e-16
37,Persistent,0.6,0.0
38,Persistent,0.6,1.86467967477e-16
39,Persistent,0.6,0.108863941451
40,Persistent,0.6,0.0430000261267
41,Persistent,0.6,9.08354294919e-18
42,Persistent,0.6,6.06408722387e-17
43,Persistent,0.6,3.98259542026e-17
44,Persistent,0.6,0.070055757977
45,Persistent,0.6,6.12431859318e-17
46,Persistent,0.6,0.0788208608731
47,Persistent,0.6,1.221081317e-16
48,Persistent,0.6,0.0
49,Persistent,0.6,0.138664422843
50,Persistent,0.6,0.0612893487727
51,Persistent,0.6,4.64426235674e-16
52,Persistent,0.6,1.68709299773e-17
53,Persistent,0.6,1.13200991098e-16
54,Persistent,0.6,0.04571540665
55,Persistent,0.6,0.0412913510761
56,Persistent,0.6,8.1763684303e-17
57,Persistent,0.6,0.189419934985
58,Persistent,0.6,1.00975895201e-15
59,Persistent,0.6,0.0813748853028
60,Persistent,0.6,1.06075865298e-15
61,Persistent,0.6,0.0578801841802
62,Persistent,0.6,1.11593092123e-16
63,Persistent,0.6,1.68089844133e-16
64,Persistent,0.6,0.101753122617
65,Persistent,0.6,1.63514393543e-15
66,Persistent,0.6,2.55432285478e-16
67,Persistent,0.6,1.09429524845e-15
68,Persistent,0.6,0.0465520573623
69,Persistent,0.6,6.25809661542e-17
70,Persistent,0.6,1.39803512716e-15
71,Persistent,0.6,0.0
72,Persistent,0.6,0.143387694068
73,Persistent,0.6,0.0719511060373
74,Persistent,0.6,0.0703779513224
75,Persistent,0.6,2.03791574009e-16
76,Persistent,0.6,0.11985960183
77,Persistent,0.6,0.0569748022537
78,Persistent,0.6,0.110130202428
79,Persistent,0.6,0.0
80,Persistent,0.6,3.30528139797e-17
81,Persistent,0.6,0.0504641988313
82,Persistent,0.6,0.0944689724724
83,Persistent,0.6,7.26833865083e-17
84,Persistent,0.6,1.65098317475e-16
85,Persistent,0.6,0.0742615147204
86,Persistent,0.6,3.10936143635e-16
87,Persistent,0.6,9.02828232295e-17
88,Persistent,0.6,1.32741634792e-16
89,Persistent,0.6,0.0251476025007
90,Persistent,0.6,0.052277716523
91,Persistent,0.6,0.0863991449285
92,Persistent,0.6,3.14404759707e-17
93,Persistent,0.6,8.57710087937e-17
94,Persistent,0.6,1.84366934874e-15
95,Persistent,0.6,4.10735261985e-16
96,Persistent,0.6,0.0
97,Persistent,0.6,1.85385247723e-17
98,Persistent,0.6,6.62635952247e-16
99,Persistent,0.6,0.058061349809
0,Persistent,0.4,0.0717234931225
1,Persistent,0.4,0.122639302476
2,Persistent,0.4,0.141597046619
3,Persistent,0.4,0.169219709574
4,Persistent,0.4,0.17694176342
5,Persistent,0.4,0.178083288142
6,Persistent,0.4,7.99616207558e-17
7,Persistent,0.4,0.150974690917
8,Persistent,0.4,0.193184002689
9,Persistent,0.4,0.161256586907
10,Persistent,0.4,0.161558494319
11,Persistent,0.4,0.161599034141
12,Persistent,0.4,0.194327012561
